canonical_entity,type,posts,salience_sum,mid,decision,motivo
ia,concept,31,4.9272,/m/0mkz,KEEP,Concepto central del brief (IA generativa aplicada a productividad).
chatgpt,tool,16,1.2167,/g/11khcfz0y2,KEEP,Herramienta IA en entidades_nucleo del brief.
deep research,concept,1,0.8775,/g/11l_323gkk,KEEP,Herramienta/concepto en entidades_nucleo del brief.
gpt-5 prompting guide,organization,1,0.5685,/g/11yt04s2gb,KEEP,Recurso prompting para GPT-5 (entidad_nucleo); territorio del brief.
claude code,tool,4,0.5212,,KEEP,Herramienta IA en entidades_nucleo del brief.
prompt,concept,13,0.4861,,KEEP,Elemento basico de prompting; nucleo del brief.
nano banana pro gemini 3 pro,person,1,0.3351,,KEEP,Combinacion entidades_nucleo Nano Banana Pro + Gemini 3 Pro.
youtube,platform,2,0.3331,/m/09jcvs,KEEP,Plataforma video/contenido; territorio del brief.
google,platform,1,0.2948,/m/045c7b,KEEP,Motor busqueda central para SEO/AI Overviews; territorio del brief.
sistema de escritura con ia,other,2,0.2935,/m/0844v,KEEP,Sistema produccion contenido IA; territorio productividad del brief.
agentes,concept,4,0.2613,,KEEP,Agentes IA en entidades_nucleo del brief.
newsletter,channel,11,0.1863,,KEEP,Canal en entidades_nucleo del brief.
ia generativa,concept,1,0.1788,/m/0mkz,KEEP,Concepto nucleo explicito del brief.
claude projects,tool,1,0.1616,,KEEP,Feature de Claude (entidad_nucleo) para gestion de contexto/memoria.
contexto,concept,12,0.1556,,KEEP,Memoria/contexto en entidades_nucleo del brief.
wordpress,tool,1,0.1455,/m/02vtpl,KEEP,CMS central en entidades_nucleo del brief.
gemini,tool,5,0.1416,/g/11ts49p01g,KEEP,Herramienta IA en entidades_nucleo del brief.
seo summit,organization,1,0.1272,/m/019qb_,KEEP,Evento SEO con visibilidad para territorio del brief.
juan implementar ia,other,1,0.1143,,KEEP,Caso de implementacion IA en empresa; territorio del brief.
agente,concept,2,0.0784,,KEEP,Agente IA; entidades_nucleo del brief.
gpt-5 2,other,1,0.0621,/g/11k9g_m6cg,KEEP,Version de GPT-5 (entidad_nucleo); territorio del brief.
brainstorming,other,1,0.061,/m/023mty,KEEP,Tecnica ideacion con IA; territorio prompting del brief.
rag notebooklm,other,1,0.0491,/g/11w2hkn8vj,KEEP,RAG aplicado a NotebookLM (entidades_nucleo); territorio tecnico IA.
notebooklm,tool,2,0.041,/g/11vsw7nxj5,KEEP,Herramienta IA en entidades_nucleo del brief.
claude,tool,3,0.0405,/g/11kq5ghr35,KEEP,Herramienta IA en entidades_nucleo del brief.
prompts,other,4,0.0323,,KEEP,Conjunto de prompts; nucleo del brief.
json,other,6,0.027,/m/05cntt,KEEP,Formato datos usado en automatizaciones/agentes IA; territorio tecnico.
n8n,tool,1,0.0252,/g/11lp5nv8gz,KEEP,Herramienta de automatizacion en entidades_nucleo del brief.
nano banana,tool,1,0.0235,,KEEP,Producto en entidades_nucleo del brief.
openai cookbook de los tres,organization,1,0.0184,,KEEP,Recurso oficial OpenAI sobre prompting/agentes; territorio del brief.
razonamiento,other,3,0.0148,,KEEP,Capacidad reasoning LLMs; territorio tecnico IA del brief.
ai overviews,concept,1,0.0139,/g/11x5rnx50d,KEEP,Concepto SEO/GEO en entidades_nucleo del brief.
llm,other,3,0.0132,/g/11kc9956b3,KEEP,Modelo de lenguaje grande; base tecnica del territorio IA.
aio,other,1,0.0127,,KEEP,AI Overviews (abrev.); concepto SEO del brief.
openai,other,1,0.0122,/g/11bxc656v6,KEEP,Org creadora ChatGPT/GPT-5; entidad_nucleo del brief.
api,other,2,0.0112,,KEEP,Interfaz programacion para integrar IA; territorio automatizacion del brief.
ctr,other,1,0.011,/m/06jmb1,KEEP,Metrica SEO en entidades_nucleo del brief.
ugc,organization,1,0.0104,/m/0b4qkr,KEEP,User Generated Content; estrategia contenido relevante para territorio del brief.
chatbot,consumer_good,1,0.0097,,KEEP,Categoria herramienta IA conversacional; territorio del brief.
codex,tool,1,0.0096,/m/052yv,KEEP,Herramienta de codigo IA (OpenAI) en entidades_nucleo del brief.
reddit,organization,1,0.0084,/m/0b2334,KEEP,Plataforma comunidad y distribucion; territorio SEO/contenido del brief.
claude familia anthropic,tool,1,0.0065,,KEEP,Familia de modelos Claude (entidad_nucleo); comparativas herramientas.
prompting,concept,1,0.0062,,KEEP,Concepto nucleo del brief (criterio y sistemas de prompting).
twitter,platform,1,0.0058,/m/045c7b,KEEP,Plataforma distribucion contenido; territorio del brief.
linkedin,platform,3,0.0054,/m/03vgrr,KEEP,Plataforma distribucion contenido; territorio del brief.
productividad,other,1,0.0048,,KEEP,Productividad con IA; objetivo explicito del brief.
automatizaciones,consumer_good,1,0.0045,,KEEP,Automatizaciones con IA; territorio n8n/agentes del brief.
gems de gemini,other,1,0.0036,,KEEP,Feature de Gemini (entidad_nucleo) para contexto personalizado.
workflows,consumer_good,1,0.0034,,KEEP,Flujos automatizacion IA; territorio del brief.
growth editor,other,1,0.0034,,KEEP,Rol/concepto en entidades_nucleo del brief.
gpt,tool,1,0.0032,,KEEP,Familia de modelos OpenAI; entidad_nucleo del brief.
subagentes,concept,1,0.0032,,KEEP,Subagentes IA en entidades_nucleo del brief.
obsidian,tool,1,0.003,/g/11n007kbcy,KEEP,Herramienta PKM usada con IA; territorio productividad del brief.
workflow,other,1,0.0029,,KEEP,Flujo automatizacion IA (n8n); territorio del brief.
perplexity,tool,1,0.0025,,KEEP,Motor busqueda IA; territorio herramientas del brief.
gpts,tool,1,0.0025,/g/11w1kjh448,KEEP,GPTs personalizados de OpenAI; territorio agentes del brief.
grok,tool,1,0.0023,/g/11l6lp1dv3,KEEP,Modelo IA de xAI; comparativa herramientas en territorio del brief.
chatbots,other,1,0.0023,,KEEP,Herramientas IA conversacionales; territorio del brief.
chatgpt plus,other,1,0.0021,,KEEP,Tier de ChatGPT (entidad_nucleo); relevante para audiencia del brief.
automatización,other,1,0.0018,,KEEP,Automatizacion con IA; objetivo del brief (productividad/sistemas).
photoshop,tool,1,0.0018,/m/06710,KEEP,Herramienta creacion visual; pertenece al territorio contenido del brief.
extractor ai overviews,consumer_good,1,0.0018,,KEEP,Herramienta para extraer datos de AI Overviews; territorio SEO/GEO.
alucinaciones,other,1,0.0017,,KEEP,Limitacion critica de LLMs; posicion anti-hype del brief.
embeddings,concept,1,0.0015,,KEEP,Tecnica vectorial base para search semantico; territorio IA del brief.
llm s,other,1,0.0014,/g/11kc9956b3,KEEP,LLMs (plural); base tecnica del territorio IA.
analista seo para ai overviews,organization,1,0.0011,,KEEP,Rol SEO especializado en AI Overviews; territorio del brief.
